provider_name,alias,provider_id,provider_type,country,source_file,provided_name,provided_id,share_provided,year,source
Powerchip,,P39,organization,TWN,providers.csv,,,,,
Hua Hong,,P40,organization,CHN,providers.csv,,,,,
STMicroelectronics,,P42,organization,CHE,providers.csv,,,,,
NXP,,P43,organization,NLD,providers.csv,,,,,
Kioxia,,P44,organization,JPN,providers.csv,,,,,
NLD,Netherlands,P45,country,Unknown,providers.csv,,,,,
MYS,Malaysia,P46,country,Unknown,providers.csv,,,,,
SGP,Singapore,P47,country,Unknown,providers.csv,,,,,
ASE,,P48,organization,TWN,providers.csv,,,,,
Amkor,,P49,organization,USA,providers.csv,,,,,
JCET,,P50,organization,CHN,providers.csv,,,,,
TongFu,,P52,organization,CHN,providers.csv,,,,,
Tianshui Huatian Technology,,P53,organization,CHN,providers.csv,,,,,
UTAC,,P54,organization,SGP,providers.csv,,,,,
SK Hynix,,P55,organization,KOR,providers.csv,,,,,
Micron,,P56,organization,USA,providers.csv,,,,,
Powertech,,P57,organization,TWN,providers.csv,,,,,
PVA TePla,,P58,organization,DEU,providers.csv,,,,,
JSG,,P59,organization,CHN,providers.csv,,,,,
Accretech,ACCRETECH - Tokyo Seimitsu,P60,organization,JPN,providers.csv,,,,,
Okamoto,Okamoto Machine Tool Works,P61,organization,JPN,providers.csv,,,,,
Disco,,P62,organization,JPN,providers.csv,,,,,
Meyer Burger,,P63,organization,CHE,providers.csv,,,,,
Toyo,,P64,organization,JPN,providers.csv,,,,,
Lanzhou Rapid Equipment Manufacturing,,P65,organization,CHN,providers.csv,,,,,
Beijing JingYi Century Automatic Equipment,,P66,organization,CHN,providers.csv,,,,,
EV Group,,P67,organization,AUT,providers.csv,,,,,
SUSS MicroTec,,P68,organization,DEU,providers.csv,,,,,
Neutronix,Neutronix Quintel,P69,organization,USA,providers.csv,,,,,
SMEE,,P70,organization,CHN,providers.csv,,,,,
Daifuku,,P71,organization,JPN,providers.csv,,,,,
Rorze,,P72,organization,JPN,providers.csv,,,,,
SEMES,,P73,organization,KOR,providers.csv,,,,,
Muratec,,P74,organization,JPN,providers.csv,,,,,
Gudeng,Gudeng Precision Industrial,P75,organization,TWN,providers.csv,,,,,
RECIF,,P76,organization,FRA,providers.csv,,,,,
Brooks,Brooks Automation,P77,organization,USA,providers.csv,,,,,
ESI,,P78,organization,USA,providers.csv,,,,,
CHE,Switzerland,P79,country,Unknown,providers.csv,,,,,
AUT,Austria,P80,country,Unknown,providers.csv,,,,,
Applied Materials,,P81,organization,USA,providers.csv,,,,,
Nissin Ion,,P82,organization,JPN,providers.csv,,,,,
SMIT,,P83,organization,JPN,providers.csv,,,,,
Axcelis,Axcelis Technologies,P84,organization,USA,providers.csv,,,,,
CETC,,P85,organization,CHN,providers.csv,,,,,
Hermes-Epitek,,P86,organization,TWN,providers.csv,,,,,
Kingstone Semiconductor,,P87,organization,CHN,providers.csv,,,,,
ASML,,P88,organization,NLD,providers.csv,,,,,
Nikon,,P89,organization,JPN,providers.csv,,,,,
SWE,Sweden,P90,country,Unknown,providers.csv,,,,,
NuFlare,NuFlare Technology,P91,organization,JPN,providers.csv,,,,,
JEOL,,P92,organization,JPN,providers.csv,,,,,
Vistec,Vistec Semiconductor Systems,P93,organization,DEU,providers.csv,,,,,
Mycronic,,P94,organization,SWE,providers.csv,,,,,
Heidelberg Instruments,,P95,organization,DEU,providers.csv,,,,,
Thermo Fisher,,P96,organization,USA,providers.csv,,,,,
Hitachi,Hitachi High-Tech,P97,organization,JPN,providers.csv,,,,,
Zeiss,,P98,organization,DEU,providers.csv,,,,,
Tescan,,P99,organization,CZE,providers.csv,,,,,
HORIBA,,P100,organization,JPN,providers.csv,,,,,
Eurofins,,P101,organization,LUX,providers.csv,,,,,
A&D,,P102,organization,JPN,providers.csv,,,,,
Raith,,P103,organization,DEU,providers.csv,,,,,
FOCUS,,P104,organization,DEU,providers.csv,,,,,
Tokyo Electron,,P105,organization,JPN,providers.csv,,,,,
Screen,,P106,organization,JPN,providers.csv,,,,,
Kingsemi,,P107,organization,CHN,providers.csv,,,,,
Brewer Science,,P108,organization,USA,providers.csv,,,,,
Rite Track,,P109,organization,USA,providers.csv,,,,,
GBR,United Kingdom,P110,country,Unknown,providers.csv,,,,,
Lam Research,,P111,organization,USA,providers.csv,,,,,
ASM International,,P112,organization,NLD,providers.csv,,,,,
Piotech,,P113,organization,CHN,providers.csv,,,,,
SKY Technology Development,,P114,organization,CHN,providers.csv,,,,,
NAURA,,P115,organization,CHN,providers.csv,,,,,
Kokusai,Kokusai Electric,P116,organization,JPN,providers.csv,,,,,
ULVAC,,P117,organization,JPN,providers.csv,,,,,
KLA,,P118,organization,USA,providers.csv,,,,,
Mattson Tech,Mattson Technology,P119,organization,CHN,providers.csv,,,,,
AP Systems,,P120,organization,KOR,providers.csv,,,,,
Veeco,,P121,organization,USA,providers.csv,,,,,
Grand Process,Grand Plastic Technology,P122,organization,TWN,providers.csv,,,,,
AMEC,Advanced Micro-Fabrication Equipment Inc. China,P123,organization,CHN,providers.csv,,,,,
Plasma-Therm,,P124,organization,USA,providers.csv,,,,,
SAMCO,,P125,organization,JPN,providers.csv,,,,,
GigaLane,,P126,organization,KOR,providers.csv,,,,,
Charm Engineering,,P127,organization,KOR,providers.csv,,,,,
EBARA,,P128,organization,JPN,providers.csv,,,,,
Hwatsing,,P129,organization,CHN,providers.csv,,,,,
KCTech,,P130,organization,KOR,providers.csv,,,,,
Revasum,,P131,organization,USA,providers.csv,,,,,
FRA,France,P132,country,Unknown,providers.csv,,,,,
ISR,Israel,P133,country,Unknown,providers.csv,,,,,
BLR,Belarus,P134,country,Unknown,providers.csv,,,,,
Bruker,"Bruker, AXS",P135,organization,USA,providers.csv,,,,,
Rigaku,Rigaku International,P136,organization,JPN,providers.csv,,,,,
Raintree Scientific Instruments (RSIC),RSIC Scientic Instrument,P137,organization,CHN,providers.csv,,,,,
Nanotronics,,P138,organization,USA,providers.csv,,,,,
Onto Innovation,,P139,organization,USA,providers.csv,,,,,
Lasertec,,P140,organization,JPN,providers.csv,,,,,
CAMTEK,,P141,organization,ISR,providers.csv,,,,,
Keysight Tech,Keysight Technologies,P142,organization,USA,providers.csv,,,,,
Keithley Instruments,,P143,organization,USA,providers.csv,,,,,
Top Engineering,,P144,organization,KOR,providers.csv,,,,,
ASM Pacific,ASMPT Limited,P145,organization,SGP,providers.csv,,,,,
ASTI,,P146,organization,SGP,providers.csv,,,,,
Koh Young Tech,Koh Young Technology,P147,organization,KOR,providers.csv,,,,,
Cohu,,P148,organization,USA,providers.csv,,,,,
MIRTEC,,P149,organization,KOR,providers.csv,,,,,
Grand Tec,,P150,organization,CHN,providers.csv,,,,,
Longhill Industries,,P154,organization,CHN,providers.csv,,,,,
SYNOVA,,P155,organization,CHN,providers.csv,,,,,
Besi,BE Semiconductor Industries,P156,organization,NLD,providers.csv,,,,,
Fasford Tech,Fasford Technology,P158,organization,JPN,providers.csv,,,,,
Canon,Canon ANELVA,P159,organization,JPN,providers.csv,,,,,
Hoson,,P160,organization,CHN,providers.csv,,,,,
PROTEC,,P161,organization,KOR,providers.csv,,,,,
JIAFENG,Jiafeng Automation,P162,organization,CHN,providers.csv,,,,,
DIAS Automation,,P163,organization,CHN,providers.csv,,,,,
Kulicke & Soffa,,P164,organization,SGP,providers.csv,,,,,
Hesse,,P165,organization,DEU,providers.csv,,,,,
Shinkawa,,P166,organization,JPN,providers.csv,,,,,
SSP,,P167,organization,KOR,providers.csv,,,,,
KOSES,,P168,organization,KOR,providers.csv,,,,,
TOWA,,P169,organization,JPN,providers.csv,,,,,
HANMI,,P170,organization,KOR,providers.csv,,,,,
Trinity Tech,Trinity Technology,P171,organization,CHN,providers.csv,,,,,
Grohmann,Grohmann Engineering,P172,organization,USA,providers.csv,,,,,
CZE,Czech Republic,P173,country,Unknown,providers.csv,,,,,
CAN,Canada,P174,country,Unknown,providers.csv,,,,,
Advantest,,P175,organization,JPN,providers.csv,,,,,
Teradyne,,P176,organization,USA,providers.csv,,,,,
UniTest,,P177,organization,KOR,providers.csv,,,,,
DI,,P178,organization,KOR,providers.csv,,,,,
Micro Control,Micro Control Company,P179,organization,USA,providers.csv,,,,,
National Instruments,,P180,organization,USA,providers.csv,,,,,
TESEC,,P181,organization,JPN,providers.csv,,,,,
AccoTEST,AccoTEST (Beijing Huafeng Test),P182,organization,CHN,providers.csv,,,,,
Shanghai Juno,,P183,organization,CHN,providers.csv,,,,,
JHT,,P184,organization,CHN,providers.csv,,,,,
Synopsys,,P185,organization,USA,providers.csv,,,,,
Cadence,,P186,organization,USA,providers.csv,,,,,
Mentor Graphics,,P187,organization,USA,providers.csv,,,,,
Ansys,,P188,organization,USA,providers.csv,,,,,
Silvaco,,P189,organization,USA,providers.csv,,,,,
PDF Solutions,,P190,organization,USA,providers.csv,,,,,
Huada Empyrean,,P191,organization,CHN,providers.csv,,,,,
Primarius,,P192,organization,CHN,providers.csv,,,,,
Xpeedic,,P193,organization,CHN,providers.csv,,,,,
Semitronix,,P194,organization,CHN,providers.csv,,,,,
Platform-da,,P195,organization,CHN,providers.csv,,,,,
Microscapes,,P196,organization,CHN,providers.csv,,,,,
Arcas-da,,P197,organization,CHN,providers.csv,,,,,
ARM,,P198,organization,GBR,providers.csv,,,,,
SST,,P199,organization,USA,providers.csv,,,,,
Imagination Technologies,,P200,organization,GBR,providers.csv,,,,,
Ceva,,P201,organization,USA,providers.csv,,,,,
Verisilicon,,P202,organization,CHN,providers.csv,,,,,
Rambus,,P203,organization,USA,providers.csv,,,,,
eMemory Technology,,P204,organization,TWN,providers.csv,,,,,
Shenzhen Newway,,P205,organization,CHN,providers.csv,,,,,
JSR,,P206,organization,JPN,providers.csv,,,,,
Tokyo Ohka Kogyo,,P207,organization,JPN,providers.csv,,,,,
Shin-Etsu,,P208,organization,JPN,providers.csv,,,,,
Fujifilm Electronic Materials,,P209,organization,JPN,providers.csv,,,,,
Dongjin,,P211,organization,KOR,providers.csv,,,,,
DuPont Electronic Solutions,,P212,organization,USA,providers.csv,,,,,
EMD Electronics,,P213,organization,USA,providers.csv,,,,,
Inpria,,P214,organization,USA,providers.csv,,,,,
Ruihong,,P215,organization,CHN,providers.csv,,,,,
Kempur,,P216,organization,CHN,providers.csv,,,,,
Nata Opto-electronic Material,,P217,organization,CHN,providers.csv,,,,,
JHM,,P218,organization,CHN,providers.csv,,,,,
Fujimi,,P219,organization,JPN,providers.csv,,,,,
Saint-Gobain,,P220,organization,FRA,providers.csv,,,,,
Versum Materials,,P221,organization,USA,providers.csv,,,,,
DuPont,,P222,organization,USA,providers.csv,,,,,
Thomas West,,P224,organization,USA,providers.csv,,,,,
SUMCO,,P225,organization,JPN,providers.csv,,,,,
GlobalWafers,,P226,organization,TWN,providers.csv,,,,,
Siltronic,,P227,organization,DEU,providers.csv,,,,,
SK Siltron,,P228,organization,KOR,providers.csv,,,,,
Okmetic,,P229,organization,CHN,providers.csv,,,,,
JRH,,P230,organization,CHN,providers.csv,,,,,
Zhonghuan Semiconductor,,P231,organization,CHN,providers.csv,,,,,
Gritek,,P232,organization,CHN,providers.csv,,,,,
MCL,,P233,organization,CHN,providers.csv,,,,,
Simgui,,P234,organization,CHN,providers.csv,,,,,
GuoSheng,,P235,organization,CHN,providers.csv,,,,,
POSHING,,P236,organization,CHN,providers.csv,,,,,
ZingSEMI,,P237,organization,CHN,providers.csv,,,,,
Dai Nippon,,P238,organization,JPN,providers.csv,,,,,
Photronics,,P239,organization,USA,providers.csv,,,,,
Toppan Photomasks,,P240,organization,JPN,providers.csv,,,,,
Hoya Corporation,,P241,organization,JPN,providers.csv,,,,,
Taiwan Mask Corporation,,P242,organization,TWN,providers.csv,,,,,
Merck Group,,P243,organization,DEU,providers.csv,,,,,
CMC,,P244,organization,USA,providers.csv,,,,,
Anji,,P245,organization,CHN,providers.csv,,,,,
Hubei Dinglong,,P246,organization,CHN,providers.csv,,,,,
JX Nippon,,P247,organization,JPN,providers.csv,,,,,
Honeywell,,P248,organization,USA,providers.csv,,,,,
Tosoh SMD,,P249,organization,JPN,providers.csv,,,,,
Linde,,P250,organization,DEU,providers.csv,,,,,
Praxair,,P251,organization,USA,providers.csv,,,,,
KFMI,,P252,organization,CHN,providers.csv,,,,,
Grikin,,P253,organization,CHN,providers.csv,,,,,
Entegris,,P255,organization,USA,providers.csv,,,,,
Air Products,,P256,organization,USA,providers.csv,,,,,
Air Liquide,,P257,organization,FRA,providers.csv,,,,,
BASF,,P260,organization,DEU,providers.csv,,,,,
TNSC,,P261,organization,JPN,providers.csv,,,,,
Showa Denko,,P262,organization,JPN,providers.csv,,,,,
Wonik,Wonik IPS,P263,organization,KOR,providers.csv,,,,,
SK Materials,,P264,organization,KOR,providers.csv,,,,,
Huate Gas,,P265,organization,CHN,providers.csv,,,,,
Jinhong Gas,,P266,organization,CHN,providers.csv,,,,,
PERIC,,P267,organization,CHN,providers.csv,,,,,
KMG Chemicals,,P268,organization,USA,providers.csv,,,,,
Avantor,,P269,organization,USA,providers.csv,,,,,
Kanto Chemical,,P270,organization,JPN,providers.csv,,,,,
Runma,,P271,organization,CHN,providers.csv,,,,,
Sinophorus,,P273,organization,CHN,providers.csv,,,,,
Sinyang,,P274,organization,CHN,providers.csv,,,,,
Yongzhi,,P276,organization,CHN,providers.csv,,,,,
Heraeus,,P277,organization,DEU,providers.csv,,,,,
Tanaka Denshi,,P278,organization,JPN,providers.csv,,,,,
Nippon Micro,,P279,organization,JPN,providers.csv,,,,,
Doublink,,P280,organization,CHN,providers.csv,,,,,
Kangqiang,,P281,organization,CHN,providers.csv,,,,,
YesDo,,P282,organization,CHN,providers.csv,,,,,
QP Technologies,,P284,organization,USA,providers.csv,,,,,
NGK,,P285,organization,JPN,providers.csv,,,,,
Alent,,P286,organization,GBR,providers.csv,,,,,
Kyocera,,P287,organization,JPN,providers.csv,,,,,
LG,,P288,organization,KOR,providers.csv,,,,,
Sumitomo,,P289,organization,JPN,providers.csv,,,,,
Mitsui High-Tec,,P290,organization,JPN,providers.csv,,,,,
Henkel,,P291,organization,DEU,providers.csv,,,,,
Toray,Toray Engineering,P292,organization,JPN,providers.csv,,,,,
Tanaka,,P294,organization,JPN,providers.csv,,,,,
Zhongwei,,P295,organization,CHN,providers.csv,,,,,
Yixing,,P296,organization,CHN,providers.csv,,,,,
Ibiden,,P297,organization,JPN,providers.csv,,,,,
NanYa,,P298,organization,TWN,providers.csv,,,,,
Shinko,,P299,organization,JPN,providers.csv,,,,,
Shennan Circuits,,P300,organization,CHN,providers.csv,,,,,
Zhuhai Yueya,,P301,organization,CHN,providers.csv,,,,,
AKM,,P302,organization,CHN,providers.csv,,,,,
Sinopaco,,P303,organization,CHN,providers.csv,,,,,
HHCK,,P304,organization,CHN,providers.csv,,,,,
Darbond,,P305,organization,CHN,providers.csv,,,,,
Hysol Huawei,,P306,organization,CHN,providers.csv,,,,,
SH Material,,P308,organization,JPN,providers.csv,,,,,
Ningbo Hualong,,P309,organization,CHN,providers.csv,,,,,
Pureon,,P310,organization,USA,providers.csv,,,,,
Renesas,,P311,organization,JPN,providers.csv,,,,,
EUR,Europe,P312,country,EUR,providers.csv,,,,,
ACM Research,,P313,organization,USA,providers.csv,,,,,
Aehr Test Systems,,P314,organization,USA,providers.csv,,,,,
Aemulus,,P315,organization,MYS,providers.csv,,,,,
APIC Yamada,,P316,organization,JPN,providers.csv,,,,,
Canon,,P159,organization,JPN,providers.csv,,,,,
Canon,Canon Machinery,P159,organization,JPN,providers.csv,,,,,
Chroma ATE,,P317,organization,TWN,providers.csv,,,,,
ELES Semiconductor Equipment,,P318,organization,ITA,providers.csv,,,,,
EO Technics,,P319,organization,KOR,providers.csv,,,,,
Eugene Technology,,P320,organization,KOR,providers.csv,,,,,
Evatec,,P321,organization,CHE,providers.csv,,,,,
Exicon,,P322,organization,KOR,providers.csv,,,,,
FormFactor,,P323,organization,USA,providers.csv,,,,,
Graco,,P324,organization,USA,providers.csv,,,,,
Hangzhou Changchuan Technology,,P325,organization,CHN,providers.csv,,,,,
Hanwha Precision Machinery,,P326,organization,KOR,providers.csv,,,,,
Hon Technologies,,P327,organization,TWN,providers.csv,,,,,
IMS Nanofabrication,IMS Nanofabrication AG,P328,organization,AUT,providers.csv,,,,,
Incal Technology,,P329,organization,USA,providers.csv,,,,,
Iwashita Engineering,"Iwashita Engineering , Inc",P330,organization,JPN,providers.csv,,,,,
JT Corp.,,P331,organization,KOR,providers.csv,,,,,
Jusung Engineering,,P332,organization,KOR,providers.csv,,,,,
MingSeal,,P333,organization,CHN,providers.csv,,,,,
Muehlbauer,,P334,organization,DEU,providers.csv,,,,,
Musashi Engineering,Musashi Engineering Inc.,P335,organization,JPN,providers.csv,,,,,
Nordson,Nordson ASYMTEK,P336,organization,USA,providers.csv,,,,,
Nova,,P337,organization,ISR,providers.csv,,,,,
Oxford Instruments,,P338,organization,GBR,providers.csv,,,,,
Pentamaster,,P339,organization,MYS,providers.csv,,,,,
Precision Valve & Automation,"Precision Valve & Automation, Inc.(PVA)",P340,organization,USA,providers.csv,,,,,
PSK,,P341,organization,KOR,providers.csv,,,,,
Semics,,P342,organization,KOR,providers.csv,,,,,
Semilab,,P343,organization,HUN,providers.csv,,,,,
Shenzhen Axxon Automation,"Shenzhen Axxon Automation Co.,Ltd",P344,organization,SWE,providers.csv,,,,,
Tensun,"Shenzhen Tensun Industrial Equipments Co., Ltd.",P345,organization,CHN,providers.csv,,,,,
ShibaSoku,,P346,organization,JPN,providers.csv,,,,,
Shibaura Mechatronics,,P347,organization,JPN,providers.csv,,,,,
Shimadzu,,P348,organization,JPN,providers.csv,,,,,
TechWing,,P349,organization,KOR,providers.csv,,,,,
Trymax,,P350,organization,NLD,providers.csv,,,,,
UnitySC,Unity SC,P351,organization,FRA,providers.csv,,,,,
YEST,,P352,organization,KOR,providers.csv,,,,,
YIKC,,P353,organization,KOR,providers.csv,,,,,
YoungTek Electronics (YTEC),YTEC,P354,organization,TWN,providers.csv,,,,,
All Ring Tech,,P355,organization,TWN,providers.csv,,,,,
BLUE Engineering,,P356,organization,KOR,providers.csv,,,,,
Thermco Epitaxy,CSD Epitaxy,P357,organization,GBR,providers.csv,,,,,
Dongfang Jingyuan Electron Ltd.,"Dongfang Jingyuan Microelectronics Technology Co., Ltd. (Xinji)",P358,organization,CHN,providers.csv,,,,,
Electroplating Engineers of Japan,,P359,organization,JPN,providers.csv,,,,,
F&K Delvotec,,P360,organization,DEU,providers.csv,,,,,
Innogrity,,P361,organization,SGP,providers.csv,,,,,
Intekplus,,P362,organization,KOR,providers.csv,,,,,
KES Systems,KES System,P363,organization,USA,providers.csv,,,,,
Leading Precision,Leading Precision Inc,P364,organization,TWN,providers.csv,,,,,
STATEC,,P365,organization,KOR,providers.csv,,,,,
STK Technology,,P366,organization,JPN,providers.csv,,,,,
Tokyo Weld,,P367,organization,JPN,providers.csv,,,,,
Trio-Tech International,,P368,organization,USA,providers.csv,,,,,
Trion Technology,,P369,organization,USA,providers.csv,,,,,
Onto Innovation,Rudolph Technologies,P139,organization,USA,providers.csv,,,,,
Onto Innovation,Nanometrics,P139,organization,USA,providers.csv,,,,,
Various companies,,P370,organization,Various countries,providers.csv,,,,,
LUX,Luxembourg,P371,country,Unknown,providers.csv,,,,,
Ushio,,P372,organization,JPN,providers.csv,,,,,
Panasonic,Panasonic Factory Solutions,P373,organization,JPN,providers.csv,,,,,
HUN,Hungary,P374,country,Unknown,providers.csv,,,,,
EDA Industries,,P375,organization,ITA,providers.csv,,,,,
Koyo Machinery,,P376,organization,USA,providers.csv,,,,,
TES,,P377,organization,KOR,providers.csv,,,,,
Minami,,P378,organization,JPN,providers.csv,,,,,
SAEJONG IND,,P379,organization,KOR,providers.csv,,,,,
MACHVISION,,P380,organization,TWN,providers.csv,,,,,
Shibuya Kogyo,,P381,organization,JPN,providers.csv,,,,,
SPEA,,P382,organization,ITA,providers.csv,,,,,
Genesem,,P383,organization,KOR,providers.csv,,,,,
SINGULUS TECHNOLOGIES,,P384,organization,DEU,providers.csv,,,,,
Vermes,,P385,organization,DEU,providers.csv,,,,,
Ultrasonic Engineering,,P386,organization,JPN,providers.csv,,,,,
Mirae,,P387,organization,KOR,providers.csv,,,,,
Electro Scientific Industries,,P388,organization,USA,providers.csv,,,,,
Royce Instruments,,P389,organization,USA,providers.csv,,,,,
Gallant Precision Machining,,P390,organization,TWN,providers.csv,,,,,
Focused Test,,P391,organization,USA,providers.csv,,,,,
Holon,,P392,organization,JPN,providers.csv,,,,,
Manufacturing Integration Tech,,P393,organization,SGP,providers.csv,,,,,
SCANNER TECH,,P394,organization,USA,providers.csv,,,,,
Auros Technology,,P395,organization,KOR,providers.csv,,,,,
E&R Engineering,,P396,organization,TWN,providers.csv,,,,,
KBTEM,,P397,organization,BLR,providers.csv,,,,,
Amerimade Technology,,P398,organization,USA,providers.csv,,,,,
Nextin,,P399,organization,KOR,providers.csv,,,,,
Park Systems,,P400,organization,KOR,providers.csv,,,,,
Zygo,,P401,organization,USA,providers.csv,,,,,
KAIJO,,P402,organization,JPN,providers.csv,,,,,
Riber,,P403,organization,FRA,providers.csv,,,,,
LPE,,P404,organization,ITA,providers.csv,,,,,
Aixtron,,P405,organization,DEU,providers.csv,,,,,
Jingsheng Electromechanical,,P406,organization,CHN,providers.csv,,,,,
Shenzhen Naso Tech Co.,,P407,organization,CHN,providers.csv,,,,,
Intevac,,P408,organization,USA,providers.csv,,,,,
Palomar Technologies,,P409,organization,USA,providers.csv,,,,,
PacTech,,P410,organization,JPN,providers.csv,,,,,
Component Technology,,P411,organization,SGP,providers.csv,,,,,
ACM Research,,P313,,Unknown,provision.csv,Wet etching and cleaning tools,N49,11.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ACM Research,,P313,,Unknown,provision.csv,Etch and clean tools,N55,3.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,,P123,,Unknown,provision.csv,Dry etching tools (adv. pkg.),N101,18.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,,P123,,Unknown,provision.csv,Dry etch tools,N103,5.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,,P123,,Unknown,provision.csv,Fabrication tools (for advanced packaging),N109,2.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,,P123,,Unknown,provision.csv,Etch and clean tools (adv. pkg.),N129,12.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,,P123,,Unknown,provision.csv,Low-pressure CVD tools,N39,1.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,,P123,,Unknown,provision.csv,Dry etching and cleaning tools,N48,5.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,,P123,,Unknown,provision.csv,Conductor etching tools,N50,1.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,,P123,,Unknown,provision.csv,Insulator etching tools,N51,9.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,,P123,,Unknown,provision.csv,Etch and clean tools,N55,3.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AP Systems,,P120,,Unknown,provision.csv,Rapid thermal processing tools,N43,1.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
APIC Yamada,,P316,,Unknown,provision.csv,Packaging tools,N76,11.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM International,,P112,,Unknown,provision.csv,CVD tools (adv. pkg.),N110,2.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASM International,,P112,,Unknown,provision.csv,Other deposition tools (non-IC),N138,12.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASM International,,P112,,Unknown,provision.csv,Deposition tools,N36,10.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASM International,,P112,,Unknown,provision.csv,Plasma CVD tools,N38,1.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASM International,,P112,,Unknown,provision.csv,High-temperature CVD tools,N40,20.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASM International,,P112,,Unknown,provision.csv,Atomic layer deposition tools,N41,52.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASM International,,P112,,Unknown,provision.csv,Tube-based diffusion and deposition tools,N44,7.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASM International,,P112,,Unknown,provision.csv,Chemical vapor deposition tools,N47,4.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASM Pacific,,P145,,Unknown,provision.csv,Fabrication tools (for advanced packaging),N109,2.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
